# Energy_1	Intensity_1
7.914285714285714448e+02	1.732756969458279235e-04
7.914525810324129225e+02	1.738592699934985364e-04
7.914765906362545138e+02	1.744458607262287764e-04
7.915006002400959915e+02	1.750354902927140960e-04
7.915246098439375828e+02	1.756281800292527288e-04
7.915486194477790605e+02	1.762239514617658842e-04
7.915726290516206518e+02	1.768228263078396251e-04
7.915966386554621295e+02	1.774248264787945826e-04
7.916206482593037208e+02	1.780299740817817462e-04
7.916446578631453121e+02	1.786382914219052499e-04
7.916686674669867898e+02	1.792498010043709633e-04
7.916926770708283811e+02	1.798645255366638400e-04
7.917166866746698588e+02	1.804824879307533481e-04
7.917406962785114501e+02	1.811037113053260046e-04
7.917647058823529278e+02	1.817282189880465605e-04
7.917887154861945191e+02	1.823560345178505194e-04
7.918127250900359968e+02	1.829871816472640857e-04
7.918367346938775881e+02	1.836216843447539566e-04
7.918607442977190658e+02	1.842595667971094764e-04
7.918847539015606571e+02	1.849008534118542276e-04
7.919087635054021348e+02	1.855455688196893077e-04
7.919327731092437261e+02	1.861937378769683998e-04
7.919567827130852038e+02	1.868453856682059664e-04
7.919807923169267951e+02	1.875005375086171279e-04
7.920048019207682728e+02	1.881592189466909087e-04
7.920288115246098641e+02	1.888214557667988811e-04
7.920528211284513418e+02	1.894872739918362556e-04
7.920768307322929331e+02	1.901566998858984228e-04
7.921008403361344108e+02	1.908297599569933566e-04
7.921248499399760021e+02	1.915064809597900126e-04
7.921488595438174798e+02	1.921868898984018274e-04
7.921728691476590711e+02	1.928710140292087610e-04
7.921968787515005488e+02	1.935588808637166093e-04
7.922208883553421401e+02	1.942505181714539652e-04
7.922448979591836178e+02	1.949459539829081296e-04
7.922689075630252091e+02	1.956452165925005144e-04
7.922929171668668005e+02	1.963483345616025679e-04
7.923169267707082781e+02	1.970553367215908394e-04
7.923409363745498695e+02	1.977662521769447349e-04
7.923649459783913471e+02	1.984811103083855262e-04
7.923889555822329385e+02	1.991999407760574811e-04
7.924129651860744161e+02	1.999227735227527148e-04
7.924369747899160075e+02	2.006496387771801134e-04
7.924609843937574851e+02	2.013805670572780865e-04
7.924849939975990765e+02	2.021155891735728564e-04
7.925090036014405541e+02	2.028547362325826091e-04
7.925330132052821455e+02	2.035980396402690788e-04
7.925570228091236231e+02	2.043455311055352656e-04
7.925810324129652145e+02	2.050972426437720232e-04
